City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
565,Inhambane,MZ,-23.865,35.3833,68.0,88,20,3.44,few clouds
566,Ferrol,ES,43.4832,-8.2369,65.23,82,100,16.33,overcast clouds
567,Nouakchott,MR,18.0858,-15.9785,75.13,79,11,9.01,few clouds
568,Jiwani,PK,25.05,61.7417,83.88,76,100,2.13,overcast clouds
569,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,100,100,19.57,overcast clouds
570,Alvorada,BR,-12.48,-49.1247,64.54,46,0,3.67,clear sky
571,Douentza,ML,14.9951,-2.9517,85.91,51,4,14.58,clear sky
572,Burla,IN,21.5,83.8667,90.34,61,75,0.54,light rain
573,Chancay,PE,-11.5714,-77.2672,60.96,86,67,4.38,broken clouds
574,Turinsk,RU,58.0458,63.696,62.4,45,51,10.83,broken clouds
575,Calvinia,ZA,-31.4707,19.776,47.82,63,5,7.56,clear sky
576,Kidal,ML,18.4411,1.4078,89.35,36,27,12.03,scattered clouds
577,Kasongo-Lunda,CD,-6.4667,16.8167,80.56,25,3,1.92,clear sky
578,Nouadhibou,MR,20.931,-17.0347,69.78,78,24,17.27,few clouds
579,Tatawin,TN,32.9297,10.4518,91.31,22,0,5.32,clear sky
580,Bluefield,US,37.2698,-81.2223,69.06,95,86,3.69,overcast clouds
581,Gvarv,NO,59.3875,9.1737,64.81,59,0,3.44,clear sky
582,Mollendo,PE,-17.0231,-72.0147,58.93,86,100,7.96,overcast clouds
583,Marzuq,YE,14.4,46.4667,93.72,14,13,20.2,few clouds
584,Masasi,TZ,-10.7167,38.8,76.15,46,0,8.05,clear sky
585,Aljezur,PT,37.3191,-8.8033,67.98,74,56,5.12,broken clouds
586,Freeport,US,40.6576,-73.5832,73.38,65,100,3.0,overcast clouds
587,Usinsk,RU,65.9939,57.5281,72.23,65,88,15.77,light rain
588,Belogorsk,RU,50.9158,128.4611,83.77,63,98,9.86,overcast clouds
589,Tiruchchendur,IN,8.4833,78.1167,89.89,61,100,10.54,overcast clouds
590,Lagos,NG,6.5833,3.75,77.32,91,100,4.88,moderate rain
591,Bud,US,39.447,-86.1758,79.92,80,57,6.89,broken clouds
592,Novobirilyussy,RU,56.9514,90.6661,77.83,38,42,4.88,scattered clouds
593,Sao Joaquim,BR,-28.2939,-49.9317,49.37,84,94,3.06,overcast clouds
594,Saint-Louis,SN,16.3333,-15.0,80.24,58,97,11.72,overcast clouds
595,Goldap,PL,54.3063,22.3036,66.45,63,76,7.58,broken clouds
596,Benguela,AO,-12.5763,13.4055,71.46,74,21,5.82,few clouds
597,Staryy Nadym,RU,65.6118,72.6842,57.85,59,77,13.65,broken clouds
598,Vestmanna,FO,62.1564,-7.1664,50.92,87,100,20.71,overcast clouds
599,Iquique,CL,-20.2208,-70.1431,59.04,80,100,2.19,overcast clouds
600,Salym,RU,60.0625,71.4789,64.22,43,85,11.03,overcast clouds
601,Puerto Maldonado,PE,-12.6,-69.1833,71.51,75,99,1.19,overcast clouds
602,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,79,100,5.17,overcast clouds
603,Vestmannaeyjar,IS,63.4427,-20.2734,49.12,85,100,2.06,overcast clouds
604,Ouallam,NE,14.3188,2.0866,85.24,48,97,15.21,overcast clouds
